,Date_Applied,Result,DOW,year_month,Broad_Role
0,2022-08-09,Rejected,Tuesday,2022-08,Other
1,2022-08-09,Rejected,Tuesday,2022-08,Data Scientist
2,2022-08-09,No Response,Tuesday,2022-08,Data Analyst
3,2022-08-09,No Response,Tuesday,2022-08,Data Scientist
4,2022-08-09,No Response,Tuesday,2022-08,Data Scientist
5,2022-08-09,Rejected,Tuesday,2022-08,Data Scientist
6,2022-08-09,Rejected,Tuesday,2022-08,Data Engineer
7,2022-08-09,No Response,Tuesday,2022-08,Data Scientist
8,2022-08-10,No Response,Wednesday,2022-08,Data Scientist
9,2022-08-10,No Response,Wednesday,2022-08,Data Scientist
10,2022-08-10,No Response,Wednesday,2022-08,Data Scientist
11,2022-08-10,No Response,Wednesday,2022-08,Data Scientist
12,2022-08-10,Rejected,Wednesday,2022-08,Data Scientist
13,2022-08-12,Rejected,Friday,2022-08,Data Scientist
14,2022-08-12,Offer,Friday,2022-08,Data Engineer
15,2022-08-12,No Response,Friday,2022-08,Data Scientist
16,2022-08-15,No Response,Monday,2022-08,Data Scientist
17,2022-08-17,Rejected,Wednesday,2022-08,Data Scientist
18,2022-08-17,No Response,Wednesday,2022-08,Data Engineer
19,2022-08-17,Rejected,Wednesday,2022-08,Data Analyst
20,2022-08-17,Rejected,Wednesday,2022-08,Data Analyst
21,2022-08-17,No Response,Wednesday,2022-08,Data Scientist
22,2022-08-17,No Response,Wednesday,2022-08,Data Analyst
23,2022-08-17,Rejected,Wednesday,2022-08,Data Scientist
24,2022-08-18,No Response,Thursday,2022-08,ML Engineer
25,2022-08-19,Rejected,Friday,2022-08,Data Analyst
26,2022-08-22,No Response,Monday,2022-08,Data Analyst
27,2022-08-22,Rejected,Monday,2022-08,Data Analyst
28,2022-08-22,No Response,Monday,2022-08,Data Scientist
29,2022-08-24,Contacted,Wednesday,2022-08,Data Scientist
30,2022-08-24,No Response,Wednesday,2022-08,Data Scientist
31,2022-08-24,Rejected,Wednesday,2022-08,Data Analyst
32,2022-08-24,No Response,Wednesday,2022-08,Data Scientist
33,2022-08-24,Rejected,Wednesday,2022-08,Data Scientist
34,2022-08-24,Rejected,Wednesday,2022-08,Data Analyst
35,2022-08-24,No Response,Wednesday,2022-08,ML Engineer
36,2022-08-25,No Response,Thursday,2022-08,Data Scientist
37,2022-08-25,No Response,Thursday,2022-08,Data Scientist
38,2022-08-28,No Response,Sunday,2022-08,Data Analyst
39,2022-08-28,No Response,Sunday,2022-08,Data Analyst
40,2022-08-31,Rejected,Wednesday,2022-08,Data Scientist
